release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.3,2016,IND_5210011,根充済み,34,広島県,220.6909,220.6909,25.0,25.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,35,山口県,427.7618,427.7618,10.0,10.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,36,徳島県,177.4667,177.4667,29.0,29.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,37,香川県,656.2757,656.2757,6.0,6.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,38,愛媛県,295.8545,295.8545,19.0,19.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,39,高知県,282.1082,282.1082,20.0,20.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,40,福岡県,45.5525,45.5525,45.0,45.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,41,佐賀県,67.029,67.029,44.0,44.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,42,長崎県,320.7023,320.7023,15.0,15.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,43,熊本県,131.9617,131.9617,35.0,35.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,44,大分県,154.2241,154.2241,32.0,32.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,45,宮崎県,15.9672,15.9672,47.0,47.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,46,鹿児島県,3957.8497,3957.8497,2.0,2.0,0.0,stable_point_identified,
